Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
,0,"16,99,228","18,19,546","17,51,972","17,68,378","18,69,307","19,33,085","18,43,985","17,67,727","19,37,155","18,73,817","17,71,780","19,39,486","18,22,193","19,51,366","19,26,883","17,57,794","15,71,019","15,87,790","14,73,100","13,39,286","4,19,518","4,02,071","3,77,125","5,96,961","8,19,221","4,76,237","4,85,145","4,89,785","4,14,667","3,97,665","4,19,590","4,26,224","4,42,353","3,63,282","4,01,808","4,37,286","4,21,027","5,05,735","4,62,974","4,14,410","4,45,77,981",1087267.829
,0,"2,99,615","3,22,238","2,60,177","2,72,092","2,75,345","2,64,428","3,25,958","3,36,129","3,61,575","3,38,946","3,37,191","4,00,983","4,07,986","3,41,220","3,63,441","3,30,432","3,18,936","3,45,310","3,29,067","3,57,532","54,256","54,745","60,851","1,03,040","1,01,092","1,12,137","98,026","1,04,907","92,584","99,042","1,29,886","1,33,306","1,34,403","1,25,645","1,34,734","1,39,586","1,38,565","1,47,259","1,45,585","1,33,573","88,31,823",215410.3171
,0,"72,743","86,984","87,316","84,830","1,08,046","1,16,946","1,10,580","95,060","1,01,020","1,02,503","1,23,693","1,36,110","1,42,467","1,18,843","1,33,010","2,59,365","3,71,210","2,69,606","1,59,965","1,97,809","1,97,614","1,89,750","1,67,736","98,865","73,675","81,206","87,642","81,607","95,567","1,13,460","1,04,501","92,311","75,214","54,773","62,910","77,270","86,369","1,08,418","1,10,904","1,15,108","49,53,006",120805.0244
,0,"6,89,274","7,59,014","6,64,945","6,58,208","8,53,186","8,97,512","6,34,435","12,22,811","13,17,530","12,50,416","12,16,870","12,46,333","12,37,181","11,82,843","11,59,676","11,51,957","10,91,005","11,57,616","12,98,205","13,64,834","3,83,253","3,88,352","4,04,789","4,08,126","3,92,029","3,94,144","3,83,780","3,85,171","3,96,899","4,44,426","4,18,820","3,80,167","3,52,517","3,93,364","4,29,166","5,27,143","5,36,297","4,45,000","4,82,536","5,04,722","2,95,04,552",719623.2195
,0,"17,209","19,161","18,134","15,626","17,452","16,123","18,274","13,705",0,"4,731","16,534","16,981","15,630","12,524","15,513","31,572","18,991","16,000","15,247","16,250","90,422","1,08,244","1,06,397","96,014","84,876","68,438","1,41,151","1,32,578","1,20,823","1,34,634","1,30,415","1,39,376","1,56,952","1,51,240","1,79,552","1,84,175","2,08,969","2,24,014","1,99,344","1,97,242","31,70,513",77329.58537
,0,"17,71,066","18,85,441","17,84,297","15,98,829","6,37,180","1,90,172","19,23,692","30,92,686","28,33,424","26,55,797","30,72,185","43,43,017","41,57,904","41,12,003","42,52,823","42,44,725","44,94,076","47,38,388","52,00,633","53,70,015",909,"1,086",939,656,588,319,135,"1,660","1,606",947,"1,103",873,694,703,321,120,463,399,330,324,"6,23,72,528",1521281.171
,0,0,0,0,0,0,0,0,0,0,"1,01,761","1,19,990","91,417","1,51,079","1,52,947","1,30,129","2,11,553","1,68,970","1,82,827","1,85,274","1,78,208",0,0,0,0,0,0,0,0,0,0,0,"36,206","50,667","57,464","55,281","1,09,118","2,02,375","2,38,813","2,40,548","2,26,354","28,90,981",70511.73171
,0,"1,08,157","1,03,622","1,40,772","1,38,605","1,23,698","1,96,299","2,10,335","1,51,748","1,98,213","1,89,904","1,92,400","2,22,583","2,43,813","2,83,283","2,03,956","2,58,269","2,55,888","1,65,026","1,87,647","1,91,559","20,39,559","21,85,813","20,75,687","20,36,731","21,15,516","21,32,088","21,81,863","20,61,366","20,76,466","20,76,500","18,83,457","20,50,490","20,03,385","19,68,995","24,37,948","24,43,772","24,78,735","24,83,788","23,95,342","24,16,232","4,73,09,510",1153890.488
,0,"3,12,079","3,53,815","3,48,633","3,75,136","4,09,112","4,12,501","4,26,454","4,49,423","5,15,084","4,99,265","5,02,450","5,20,487","5,97,942","5,14,943","5,22,963","4,88,911","1,98,349","1,87,734","1,75,805","1,83,198","31,85,392","31,39,685","29,88,475","30,67,256","27,81,899","27,98,368","27,43,676","28,95,383","27,57,390","28,22,325","29,55,821","31,76,941","32,29,617","29,91,141","34,34,751","41,55,916","45,17,585","44,37,215","45,90,493","46,70,053","7,53,33,666",1837406.488
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,994","21,786","56,240","51,816","58,243","54,482","50,677","50,668","52,671","49,348","46,154","50,397","51,559","50,909","51,944","48,677","51,523","60,505","65,588","80,970","60,709","59,419","11,43,279",27884.85366
,0,0,"11,220","7,693","7,037","7,052","7,433","7,208","7,855","7,243","7,489","6,422","5,788","5,501","4,560","7,152","7,593","7,259","6,892","5,990","6,130",0,0,0,0,0,0,0,0,0,0,0,0,0,"31,514","45,549","56,362","64,425","60,927","57,852","50,404","5,00,550",12208.53659
,0,"14,876","13,019","12,563","13,163","16,381","17,511","16,408","17,273","15,817","11,256","11,255","13,237","17,629","18,225","18,876","16,995","26,895","27,613","23,459","23,495","2,73,696","3,31,343","3,87,216","3,46,542","3,13,497","2,79,581","2,65,022","2,90,701","2,53,333","2,88,458","6,82,736","7,28,353","7,42,200","7,25,917","7,10,612","7,72,579","9,05,418","7,59,656","8,92,044","10,88,528","1,13,83,378",277643.3659
,0,"15,110","16,209","14,975","16,068","15,468","13,150","21,077","33,474","41,598","44,470","38,527","26,869","23,801","35,724","40,879","45,333","8,300","10,323","12,578","13,315","23,465","20,449","27,912","22,892","22,350","23,496","24,851","49,164","36,375","24,087","23,374","20,717","20,954","20,456","18,530","19,430","24,649","24,377","21,620","16,642","9,73,038",23732.63415
,0,"60,147","59,284","58,630","55,901","51,714","51,745","48,359","33,739","36,469","86,658","42,426","50,659","36,984","47,958","66,215","89,358","1,31,890","1,29,818","1,31,741","1,88,431","53,182","45,176","42,526","42,396","41,082","38,009","43,719","43,698","53,772","53,800","55,149","53,336","20,097","14,639","19,319","42,326","53,920","55,186","39,970","36,738","23,06,166",56247.95122
,0,"5,95,734","7,02,873","6,77,014","4,15,118","3,61,139","3,77,152","3,90,553","4,24,846","4,13,527","4,59,171","4,60,718","4,68,926","4,75,937","4,75,160","5,05,349","4,60,699","4,36,081","3,93,265","4,48,286","4,31,311","7,65,195","7,25,874","6,15,045","6,43,697","6,51,464","7,27,208","6,19,983","6,58,477","6,99,137","6,65,234","7,17,614","6,10,045","6,34,286","6,78,261","6,73,572","7,53,446","8,20,426","9,64,760","9,57,405","10,20,226","2,39,74,214",584736.9268
,0,"44,695","44,514","43,927","39,121","40,796","32,599","37,916","41,778","55,832","62,103","55,872","63,231","74,883","61,621","58,050","55,760","53,603","67,659","61,330","26,010",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,709","11,588","12,557","13,857","11,872","12,001","11,613","11,05,497",26963.34146
,0,"12,16,966","17,88,267","12,70,798","14,85,531","18,73,728","22,61,477","32,73,574","18,18,622","13,29,531","9,23,811","7,94,102","6,55,444","9,39,852","7,14,095","5,31,436","5,88,051","7,48,862","9,53,408","21,39,549","22,18,837","3,69,736","2,57,903","2,79,060","2,82,838","3,13,904","5,21,695","5,06,841","5,19,330","5,23,595","5,64,326","1,88,400","2,73,729","2,21,028","3,42,942","6,71,582","6,23,122","7,08,258","7,72,475","7,24,644","6,38,258","3,68,29,607",898283.0976
,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,161","3,589","4,802","4,872","3,946","6,023","3,034","4,038","9,771","11,756","14,573","11,473","13,938","13,869","14,431","14,909","14,538","14,432","16,362","14,926","16,188","14,016","16,460","17,180","20,830","21,190","21,630","18,537","3,44,474",8401.804878
,0,"1,07,041","1,04,497","1,04,630","98,475","1,19,688","1,28,622","1,24,410","1,37,279","1,38,694","1,26,876","1,14,247","1,04,745","1,20,374","90,803","77,528","79,641","97,250","1,12,777","1,19,074","1,22,778","37,030","37,550","34,239","30,907","30,725","26,943","25,858","29,091","29,819","34,558","30,941","32,695","33,663","37,837","37,785","39,242","42,377","37,556","35,218","31,759","29,05,222",70859.07317
,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,861","52,945","50,329","50,812","59,701","1,21,420","6,33,233","6,37,012","7,96,318","7,48,747","7,59,402","6,49,132","7,82,791","6,76,216","7,61,945","8,43,520","8,56,935","7,23,088","8,06,506","7,37,073","7,56,038","4,26,328","4,03,758","2,64,780","3,71,989","3,73,630","3,00,475","3,39,238","1,40,33,222",342273.7073
,0,"60,328","70,528","68,844","70,039","69,665","73,606","82,784","80,906","78,382","61,106","45,536","62,639","60,375","70,161","69,083","70,936","71,970","79,402","78,822","74,006","34,842","34,568","35,670","33,827","34,216","34,810","32,996","33,060","31,248","37,848","32,941","29,786","29,228","24,836","30,537","29,672","32,414","35,148","34,629","31,672","20,53,066",50074.78049
,0,"54,996","59,422","58,290","57,922","58,260","58,022","60,117","63,327","60,311","61,912","63,945","58,269","52,951","53,363","66,097","57,711","62,206","58,713","58,853","56,189",0,0,0,0,0,0,"2,526","1,455","2,184","2,540",204,"2,419","5,217","4,791","5,192","8,108","16,449","10,567","4,884","5,215","12,52,627",30551.87805
,0,"10,102","32,066","82,990","76,060","95,323","96,655","99,876","1,99,819","2,80,757","2,89,050","3,99,684","4,02,485","3,09,072","3,26,080","6,31,054","7,69,540","4,90,861","44,324","48,377","54,652","13,93,894","13,70,082","14,81,462","13,30,326","11,02,445","11,39,133","11,73,771","12,08,498","13,03,212","15,67,667","13,04,690","5,68,021","6,14,810","5,21,705","13,95,337","13,22,154","13,58,911","13,81,383","12,08,104","12,81,121","2,87,65,553",701598.8537
,0,"73,804","77,886","79,566","80,541","83,668","90,934","97,537","96,444","1,08,423","1,13,344","1,18,386","1,36,092","1,38,684","1,09,951","1,16,814","1,18,369","1,15,411","1,31,419","1,25,437","1,24,347","34,33,066","32,56,974","35,58,544","39,84,826","40,55,479","39,76,056","39,84,645","40,42,022","40,86,211","41,52,497","41,30,970","42,24,897","41,29,983","41,54,455","42,56,888","41,73,014","43,34,752","44,93,519","42,23,542","40,16,598","8,28,05,995",2019658.415
,0,0,0,0,0,0,0,0,0,0,0,0,524,"1,366","2,983","5,016","7,539","14,124","14,040","19,134","20,635","2,67,718","3,01,067","2,55,215","2,46,150","2,70,969","2,46,780","2,58,804","2,73,289","2,55,492","2,74,642","2,63,370","2,66,717","2,61,139","2,20,960","2,68,946","2,58,668","3,16,122","2,67,209","2,55,032","2,92,507","54,06,157",131857.4878
,0,"77,764","1,56,437","1,06,502","2,23,096","1,59,854","1,54,799","1,62,598","1,57,753","2,07,465","2,26,125","2,15,924","2,22,637","2,07,751","2,58,994","2,70,922","4,92,256","4,94,267","3,08,215","2,92,245","3,54,356","10,86,104","12,81,528","12,78,407","11,98,105","10,72,829","10,54,492","11,67,558","10,25,407","11,35,577","10,69,673","11,05,252","12,29,590","12,79,814","13,28,802","13,82,906","15,32,818","14,56,553","11,88,780","9,10,405","11,97,345","2,87,31,905",700778.1707
,0,"32,19,806","33,30,287","34,10,490","34,48,694","39,57,742","41,77,029","42,25,618","43,48,196","42,02,511","47,00,074","16,59,425","16,87,247","17,72,542","18,31,429","18,05,069","19,25,679","18,76,525","19,01,406","17,84,520","13,08,986",0,0,0,0,0,0,0,0,0,0,"4,063","3,935","4,384","4,795","7,402","5,887","6,847","6,535","6,006","5,701","5,66,28,830",1381190.976
,0,"3,77,751","4,27,699","3,68,936","4,20,104","3,83,092","3,24,128","3,95,597","4,11,391","4,32,718","5,73,188","7,23,521","4,34,754","3,92,702","4,52,936","3,29,531","3,54,937","3,68,899","3,82,417","3,83,038","3,13,863","4,69,344","5,32,898","4,69,376","4,47,776","5,25,859","4,47,190","5,34,378","5,77,686","4,19,374","5,01,573","5,68,371","6,09,636","6,49,471","6,33,054","6,94,714","7,97,126","9,06,606","8,97,593","8,67,154","7,07,566","2,05,07,947",500193.8293
,0,"8,34,252","6,89,442","6,14,788","6,53,835","11,12,881","8,99,674","10,66,054","8,69,149","6,75,690","5,71,862","5,30,733","8,64,799","9,10,493","10,10,001","8,01,381","8,96,019","9,68,615","8,94,000","10,05,918","10,21,860","1,63,914","1,54,897","1,42,812","1,06,862","1,14,007","98,394","99,581","1,06,708","88,834","89,366","63,719","65,043","57,688","54,364","58,773","65,010","1,02,808","97,781","1,35,444","1,45,118","1,89,02,569",461038.2683
,0,0,0,0,0,"23,03,890","39,78,216","53,55,354","39,87,293","36,57,726","25,94,694","19,56,930","16,15,908","16,66,381","16,86,781","14,75,044","12,21,695","12,30,191","17,65,012","46,87,299","44,42,238","17,713","17,017","17,243","14,001","16,316","14,522","11,153","4,377","12,433","10,529","10,775","11,121","11,611","8,154","11,181","9,327","11,159","12,256","10,660","8,150","4,38,64,350",1069862.195
,0,"5,47,918","5,66,528","6,73,480","6,76,800","6,66,435","6,99,398","7,66,458","7,85,354","8,38,684","6,64,032","6,64,735","7,10,180","7,72,470","8,07,093","6,35,291","5,36,058","4,75,942","5,92,537","5,56,849","4,25,345","1,19,404","1,13,135","1,11,293","1,05,611","1,07,715","99,567","98,352","1,11,890","1,11,849","1,21,391","1,33,795","1,28,811","1,22,515","1,08,127","1,19,159","1,31,122","1,30,085","1,52,560","1,42,028","1,66,007","1,54,96,003",377951.2927
,0,"2,66,935","2,57,490","1,43,724","1,46,454","1,54,723","1,83,984","1,72,137","2,01,727","2,23,735","2,09,626","2,23,554","2,21,857","2,27,498","2,28,143","2,24,181","2,10,938","2,46,588","2,23,418","2,31,958","2,28,898","8,38,947","8,70,327","9,20,292","9,79,297","10,00,177","10,04,843","9,54,507","9,79,537","9,30,011","9,65,170","10,02,979","10,06,583","11,06,584","9,09,274","10,39,137","10,97,464","12,54,688","12,91,256","12,29,594","12,46,053","2,48,54,288",606202.1463
,0,"75,887","83,098","86,517","88,376","93,628","90,077","1,15,754","1,09,001","1,22,465","1,35,129","1,34,429","1,57,146","1,57,987","1,65,223","1,62,295","1,49,082","1,53,287","1,29,807","1,15,342","1,22,064","14,19,579","14,98,561","13,89,244","11,63,950","12,61,000","10,94,912","10,76,150","11,07,227","10,75,878","11,20,981","12,53,386","12,09,883","12,10,200","11,36,505","12,55,321","13,21,873","14,37,341","14,58,874","12,64,880","14,25,507","2,76,27,846",673849.9024
,0,0,0,0,0,0,"8,623","51,567","55,914","49,427","57,404","61,166","59,950","58,287","69,835","1,12,367","1,25,806","1,33,220","1,24,455","1,34,067","1,38,575","2,61,472","3,56,787","3,71,118","3,91,346","3,11,149","3,15,296","3,35,657","3,68,742","3,57,340","4,04,134","3,17,046","3,87,816","5,87,620","5,36,206","4,09,086","3,56,535","4,21,862","4,35,107","3,76,099","3,60,989","89,02,070",217123.6585
,0,"13,05,760","13,59,061","12,92,284","12,12,736","13,42,093","12,29,062","12,71,214","13,00,983","12,18,031","11,36,662","12,45,479","11,68,736","11,65,160","10,80,030","10,00,278","9,43,098","7,07,498","8,41,218","3,40,190","5,53,420","1,94,053","2,11,984","2,95,094","2,51,036","2,97,139","2,91,610","3,31,393","3,04,799","2,41,407","2,46,866","1,89,176","1,86,864","1,95,157","1,61,157","1,57,297","1,85,150","2,17,141","1,94,880","1,97,017","2,32,876","2,62,95,089",641343.6341
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,885","8,634","10,519","11,127","9,069","11,844","15,058","11,95,084","11,27,107","11,70,873","11,53,962","11,14,615","12,22,313","12,13,026","11,34,314","10,08,135","11,65,836","12,80,932","13,48,304","15,31,560","13,40,007","13,95,401","15,35,633","16,83,553","16,78,126","16,43,600","15,70,001","2,65,83,518",648378.4878
,0,"11,49,628","12,17,135","13,77,648","10,82,532","12,99,089","12,46,433","17,28,722","17,42,251","13,52,456","15,50,783","20,02,858","15,37,073","7,85,975","4,46,180","9,50,586","9,14,470","8,44,151","6,97,435","7,52,478","7,16,526","23,987","27,044","36,680","29,814","33,393","14,389","17,115","13,548","17,358","17,779","16,876","16,161","16,978","17,782","20,595","21,825","22,434","25,109","20,104","20,979","2,38,24,359",581081.9268
,0,"13,18,583","11,32,992","10,76,713","11,69,085","11,34,625","12,59,928","11,48,290","10,77,561","10,89,967","10,60,548","10,90,446","9,78,617","11,44,540","11,61,674","12,28,097","11,20,926","11,79,458","12,27,392","10,27,479","10,15,395","55,09,706","43,17,998","34,08,560","32,31,247","36,18,053","42,35,595","32,63,585","33,80,296","35,55,244","38,29,483","38,33,288","37,49,982","30,29,443","18,83,544","41,98,815","42,79,020","45,01,547","44,41,988","43,35,431","42,40,461","9,94,85,602",2426478.098
,0,"5,11,476","5,56,494","5,43,581","4,92,902","5,42,930","4,86,754","6,66,879","5,67,613","5,56,185","5,68,530","5,82,487","5,88,543","5,90,371","6,11,252","5,83,061","6,04,796","6,16,699","6,29,507","5,92,957","5,53,948","1,60,421","1,28,435","1,27,766","1,14,855","1,06,433","88,031","61,178","70,726","71,123","65,144","1,04,855","1,11,725","1,06,309","81,174","84,257","89,592","99,660","1,03,956","97,950","1,05,403","1,34,25,958",327462.3902
,0,"97,504","97,085","97,811","1,08,114","1,05,172","1,04,050","1,09,855","1,15,495","97,684","83,884","85,287","83,876","73,198","76,900","70,635","79,059","77,338","77,601","77,967","74,954","1,86,212","1,92,084","1,87,941","2,01,576","2,06,638","2,06,425","2,01,016","1,96,061","1,98,918","1,89,952","1,87,559","1,87,208","2,60,537","2,58,242","2,72,499","2,64,925","3,46,213","2,30,562","2,66,503","2,84,516","63,19,056",154123.3171
,0,"4,746","5,518","3,184","2,964","2,272","1,649","3,905","3,683","5,617","7,633","7,599","8,333","6,475","6,146","7,065","6,088","6,640","7,588","7,166","5,960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,06,791","5,11,220","20,88,929","28,17,171",68711.4878
,0,"75,973","80,047","78,374","93,573","1,24,011","1,76,821","2,70,384","2,78,170","3,51,658","2,62,687","1,56,676","1,46,947","1,74,626","1,87,833","2,05,093","1,45,809","2,59,201","1,75,688","1,76,036","1,77,721","1,67,988","1,59,523","1,50,664","1,59,073","1,26,911","2,29,913","2,21,406","2,31,855","2,09,399","1,87,397","1,58,819","1,85,265","1,77,793","1,84,864","1,76,723","1,82,203","60,233","1,19,454","1,04,583","1,08,379","68,99,773",168287.1463
,0,"4,73,061","5,03,424","4,67,392","5,03,739","5,36,022","4,77,585","4,83,334","5,63,720","5,78,016","5,61,758","5,86,464","5,97,057","6,60,296","5,37,075","8,71,061","8,05,688","7,81,171","8,32,033","8,49,974","7,61,717","18,049","18,149","16,385","16,762","15,281","17,615","27,260","23,000","20,075","23,713","22,047","17,893","18,918","16,128","17,776","29,558","29,378","30,773","27,715","33,750","1,28,70,812",313922.2439
,0,"6,19,794","5,87,926","3,39,034","2,58,430","3,04,738","4,58,395","5,39,294","5,45,667","5,77,050","5,65,823","5,60,284","5,97,469","6,80,862","6,20,644","6,12,599","5,84,988","5,91,928","6,44,852","5,23,354","5,49,491","8,488","7,722","6,390","4,675","4,686","4,107","3,990","4,633","3,918","3,357","2,888","1,949","2,045","1,682","1,475","1,261","2,794","2,293","2,077","1,921","1,08,34,973",264267.6341
,0,0,0,0,"6,759","9,211","14,755","16,764","17,012","22,710","15,495","15,853","17,267","18,475","30,111","29,187","33,565","30,490","25,354","74,263","36,672","19,837","11,198","9,376","10,175","11,082","11,158","10,713","13,098","18,590","14,390","15,029","6,537","17,930","18,676","21,065","6,685","6,582","24,884","23,155","25,978","7,10,081",17319.04878
,0,0,0,"14,871","18,760","22,183","23,171","26,557","29,191","31,046","33,221","35,976","38,971","42,229","45,335","50,146","54,430","31,467","31,833","27,859","29,252","15,813","20,684","15,634","15,920","13,898","13,032","13,218","14,147",834,"11,735","17,491","17,107","18,875","19,198","22,025","24,896","29,199","28,585","27,508","26,994","9,53,291",23251
,0,"4,28,809","4,29,618","4,15,360","4,84,289","4,09,493","4,48,677","6,30,779","3,15,957","3,28,617","4,72,894","4,63,461","4,61,494","4,77,643","4,77,362","4,75,755","4,34,671","3,93,721","4,25,132","4,19,210","3,75,681","1,78,795","1,90,029","1,73,996","1,72,113","1,44,226","1,11,879","1,03,324","1,09,894","1,09,156","1,41,559","1,16,035","1,37,690","1,49,754","1,62,599","1,46,500","1,59,740","1,64,360","1,68,195","1,51,500","1,51,500","1,17,11,467",285645.5366
,0,"1,61,846","1,83,448","1,83,666","1,90,938","2,07,893","1,91,950","2,07,951","2,08,953","2,43,666","2,45,948","2,49,954","2,34,122","2,67,090","2,62,769","2,64,747","2,62,675","2,38,889","2,33,582","2,17,466","2,45,225","4,31,813","4,46,609","4,71,551","4,90,295","4,74,589","4,93,198","4,35,359","4,56,588","5,16,804","5,86,928","6,23,748","5,63,407","6,40,555","5,45,090","5,59,580","5,80,033","7,53,880","7,08,003","7,49,389","6,91,658","1,57,21,855",383459.878
,0,"20,00,269","25,21,831","23,68,897","23,47,242","22,22,027","22,26,159","23,63,756","25,73,194","21,82,113","26,44,442","28,23,572","29,20,537","31,44,405","29,12,193","30,46,145","31,25,285","30,12,171","28,89,513","31,20,830","31,31,381","12,863","54,419","54,935","3,359",0,0,"8,753","9,342","8,027","27,061","63,009","55,284","52,554","46,677","51,344","56,317","57,694","59,323","47,297","42,224","5,42,86,444",1324059.61
,0,"24,90,282","25,16,893","24,15,587","24,57,464","27,38,467","28,31,952","28,76,717","31,52,275","32,16,681","33,08,159","31,24,939","34,23,101","38,19,518","38,39,645","39,62,117","39,58,406","40,46,207","36,69,970","36,57,132","34,93,607","19,76,325","22,25,756","20,66,932","16,42,293","22,00,371","23,12,726","22,19,255","23,27,254","23,63,263","23,37,868","23,05,856","19,45,696","26,13,131","26,09,463","27,08,607","31,02,442","34,14,345","33,66,571","31,98,859","30,96,895","11,50,33,027",2805683.585
,0,0,0,697,955,988,"2,073","1,707","1,789","1,255",916,"1,965","2,050","2,430","1,951",646,658,"1,005","1,856","4,451","4,072","4,414","5,241","4,824","4,801","5,940","4,500","5,019","4,886","5,720","6,268","6,004","6,351","6,426","6,013","5,843","5,772","10,652","10,250","8,254","8,020","1,56,662",3821.02439
,0,"11,23,846","12,88,808","12,46,290","12,73,030","13,77,254","15,03,272","16,70,503","17,77,619","19,48,332","19,98,856","21,02,400","22,36,997","23,90,626","23,92,580","22,70,871","24,30,162","24,98,001","24,45,534","23,70,048","24,49,664","1,15,115","1,26,270","1,14,736","1,06,030","1,07,170","1,04,517","1,10,840","1,14,737","1,23,682","1,38,571","1,20,241","96,965","1,18,764","91,269","95,679","1,04,023","91,261","1,00,740","1,21,311","1,03,512","4,10,00,126",1000003.073
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,50,585","7,07,183","6,55,335","8,10,821","7,50,230","9,03,177","10,11,989","9,99,833","10,38,888","11,95,171","9,93,948","10,28,922","10,76,310","10,31,667","11,21,318","12,39,423","11,48,494","12,18,306","11,34,857","12,05,065","1,99,21,522",485890.7805
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"76,059","80,006","57,328","59,216","63,217","75,140","63,733","56,174","63,553","60,534","60,497","53,426","51,881","39,632","36,360","37,523","38,048","40,898","39,822","28,853","10,81,900",26387.80488
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,706","49,570","48,438","52,393","48,502","44,022","45,015","45,484","45,079","40,637","39,866","33,740","35,158","31,433","38,017","42,146","43,829","46,308","40,810","39,704","8,63,857",21069.68293
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,085","11,495","10,323","11,345","14,685","50,331","58,417","60,827","16,244","23,716","19,301","24,319","22,662","31,133","39,322","26,829","30,097","4,62,131",11271.4878
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57,954","37,843","49,114","59,413","52,752","70,032","72,778","75,450","52,027","31,360","23,230","23,288","24,030","47,766","11,786","7,961","8,452","20,407","37,486","36,395","7,99,524",19500.58537
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,13,525","1,16,323","1,12,167","1,15,216","1,14,486","1,08,262","1,15,213","1,07,796","1,02,811","1,06,250","1,03,274","1,01,104","97,388","85,746","74,903","95,065","1,04,604","1,09,388","98,090","98,538","20,80,149",50735.34146
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,894","22,421","25,531","22,248","22,797","24,868","25,758","46,398","45,959","40,703","39,967","35,664","39,373","38,604","40,287","39,048","46,071","59,761","43,602","39,449","7,16,403",17473.2439
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,76,178","3,06,639","2,96,095","2,56,987","2,25,565","2,48,953","2,00,338","2,48,284","2,84,347","2,58,311","3,06,468","2,70,390","2,55,586","2,28,464","2,30,845","2,43,246","2,64,362","2,53,537","2,20,966","2,15,537","50,91,098",124173.122
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,50,434","12,30,025","11,58,423","11,32,976","10,88,271","12,93,001","13,40,679","12,98,161","12,75,871","14,49,228","16,17,511","13,03,046","14,42,750","19,62,889","19,90,881","21,43,965","24,28,724","21,59,592","18,81,362","22,59,944","3,18,07,733",775798.3659
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,10,575","3,96,656","4,03,016","3,59,982","4,05,264","3,72,517","3,91,899","3,98,125","3,60,334","3,80,460","3,90,525","3,67,680","4,23,107","3,72,569","3,98,447","4,31,961","3,87,856","3,60,436","3,40,870","3,26,822","76,79,101",187295.1463
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,34,226","9,92,284","10,23,370","9,01,672","9,58,081","7,03,484","6,76,605","6,99,314","5,55,109","5,84,105","5,81,459","7,96,035","5,73,262","5,73,838","5,50,874","5,32,444","5,08,914","4,75,074","4,74,387","5,76,456","1,36,70,993",333438.8537
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,82,445","37,04,008","32,96,596","28,39,006","37,89,889","37,99,968","36,29,739","36,33,793","42,43,573","44,37,771","45,55,371","40,20,127","44,24,407","41,42,721","44,03,467","55,97,077","52,99,713","50,72,589","47,19,148","45,80,587","8,39,71,995",2048097.439
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,03,992","6,77,401","6,93,494","8,21,681","7,93,590","8,03,040","6,77,289","5,71,382","4,69,034","4,15,847","4,93,477","4,42,414","4,83,341","4,38,601","4,26,930","4,38,372","4,11,343","3,04,408","1,12,287","1,33,398","1,03,11,321",251495.6341
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,27,371","2,43,374","2,38,227","2,34,231","2,49,041","2,34,577","2,31,875","2,20,650","2,21,585","2,22,429","2,53,891","1,77,184","2,14,841","2,33,390","2,39,160","2,38,313","2,41,912","2,37,250","2,39,656","2,32,974","46,31,931",112973.9268
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,551","69,510","1,01,792","1,06,932","1,11,331","4,10,116",10002.82927
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,12,649","1,02,839","1,06,962","1,11,465","1,26,931","1,28,275","1,20,820","1,26,187","1,01,833","1,28,299","1,26,552","1,25,003","1,10,748","1,25,267","1,35,230","1,53,322","1,52,444","1,65,134","1,67,736","1,52,333","25,80,029",62927.53659
